"Turbine_ID","Previous_Over_current_Trips","Lubrication_Type","New_Seal","Planned_shutdowns","Average_RPM","Asset_Age_Score","Average_Vibration_Score","Torque_rating","Bearing_Weight_Score","Insulation_Rating","Fatigue_Score","Asset_Failure","Inspection_in_last_6 Months","Minor_Component_Failure_Last_6_months","Major_Component _Failure_Last_6_months","Proactive_Part_Replacement_Last_6_months","Inspection_Last_3_months","Proactive_Asset_Replacement_Last_3 months"
"3553","2","0","1","4","3920","162","267","5","88","45","0.0","1","0","0","0","0","0","0"
"544","5","0","0","1","3561","274","362","2","117","57","14.21267","0","0","1","0","0","0","0"
"577","3","2","0","10","5240","384","629","11","80","78","6.480741","0","0","0","0","0","0","0"
"581","0","0","0","0","1956","0","167","0","29","25","0.0","0","0","0","0","0","0","0"
"740","0","0","1","3","7582","203","562","4","20","100","11.661904","0","0","0","0","0","0","0"
"747","0","0","1","1","4815","435","572","2","56","70","11.661904","1","0","0","0","0","0","0"
"1104","0","0","0","0","2986","37","204","0","14","54","5.196152","0","0","0","0","0","0","0"
"1349","0","0","0","0","4210","70","237","0","23","84","0.0","0","0","0","0","0","0","0"
"1418","0","0","0","3","4743","3","71","3","1","92","1.0","0","0","0","0","0","0","0"
"1485","3","0","4","5","10309","358","1042","9","97","202","0.0","1","0","0","0","0","0","0"
"1956","1","0","3","3","4190","129","423","8","96","138","0.0","0","0","2","0","0","0","0"
"2200","2","0","1","1","5665","339","660","2","225","83","16.309506","1","0","0","0","0","0","0"
"2249","0","0","0","0","1136","0","1","0","0","0","0.0","0","0","0","0","0","0","0"
"2392","0","0","0","0","3873","0","411","0","0","110","0.0","0","0","0","0","0","0","0"
"2531","0","0","1","5","3009","7","113","6","0","43","0.0","0","0","0","0","0","0","0"
"2718","0","0","0","0","4882","0","4","1","0","4","0.0","0","0","0","1","0","0","0"
"272","6","0","2","5","4405","295","400","8","62","87","12.206556","0","0","0","0","0","1","0"
"2948","1","0","0","0","4810","392","499","0","241","48","19.748418","1","0","0","0","0","0","0"
"2964","3","0","2","2","5229","416","747","7","207","104","20.0","1","0","1","1","0","1","0"
"2980","1","2","2","5","6125","473","927","7","31","116","20.880613","1","0","0","0","0","0","0"
"3250","0","0","1","2","7421","147","321","4","40","97","0.0","0","0","0","0","0","1","0"
"3365","1","0","1","2","2552","275","520","3","143","52","0.0","0","0","0","0","0","0","0"
"3408","1","0","0","0","2982","101","225","0","57","58","0.0","0","0","0","0","0","0","0"
"3641","2","1","6","7","6655","700","1191","17","171","104","0.0","1","0","0","0","0","4","0"
"3656","0","1","2","5","2414","186","400","7","0","33","0.0","0","0","0","0","0","0","0"
"442","0","0","0","1","1611","47","180","1","13","38","0.0","0","0","0","0","0","0","0"
"462","1","0","0","6","3834","151","717","6","54","50","1.0","1","0","0","0","0","0","0"
"470","0","0","0","1","3835","50","118","1","9","37","0.0","0","0","0","0","0","0","0"
"647","0","0","0","1","6248","135","367","1","43","106","0.0","0","0","0","0","0","0","0"
"711","0","0","0","1","1621","200","223","1","116","28","0.0","0","0","0","0","0","0","0"
"743","0","0","0","1","5515","158","661","1","29","81","6.480741","0","0","0","0","0","0","0"
"975","1","1","0","2","4188","73","577","3","60","56","8.660254","0","0","0","0","0","1","0"
"1008","4","0","1","3","4925","257","600","5","33","96","12.083046","1","0","0","0","0","1","0"
"1305","0","0","0","0","5255","20","38","0","9","36","0.0","0","0","0","0","0","0","0"
"1435","0","0","0","0","3816","52","234","0","9","81","0.0","1","0","0","0","0","0","0"
"1487","1","0","0","1","7026","50","602","1","7","156","0.0","0","0","0","0","0","0","0"
"15","0","0","1","2","1792","48","158","3","0","24","0.0","0","0","0","0","0","0","0"
"1686","0","0","2","4","4424","128","283","7","48","80","9.539392","0","0","0","0","0","1","0"
"1765","1","0","3","4","6975","540","604","7","111","179","20.92845","1","0","0","0","0","0","0"
"2144","0","0","0","0","3115","101","222","0","55","36","0.0","0","0","0","0","0","0","0"
"2199","1","0","2","2","3604","0","379","5","0","68","1.0","0","0","0","0","0","1","0"
"232","1","0","0","0","433","22","31","0","4","7","0.0","0","0","0","0","0","0","0"
"234","0","0","0","0","2074","115","170","0","15","28","0.0","0","0","0","0","0","0","0"
"2341","0","0","1","1","642","14","14","2","0","7","0.0","0","0","0","0","0","0","0"
"2605","0","0","1","1","594","0","37","2","0","11","0.0","0","0","0","0","0","0","0"
"2628","0","0","0","0","762","21","135","0","2","23","0.0","0","0","0","0","0","0","0"
"2720","0","0","0","0","323","0","18","0","0","3","0.0","1","0","0","0","0","0","0"
"2729","0","0","0","0","4096","0","56","0","0","41","0.0","0","0","0","0","0","0","0"
"282","0","0","0","0","1097","0","51","0","0","15","0.0","0","0","0","0","0","0","0"
"2953","2","0","0","1","5341","889","1015","3","202","73","27.748874","1","0","2","0","0","0","0"
"3089","0","0","1","1","4860","81","378","2","30","121","0.0","1","0","0","0","0","0","0"
"3280","0","0","0","1","3122","33","646","1","4","70","0.0","1","0","0","0","0","0","0"
"3454","2","0","0","2","6850","346","897","2","64","94","16.248077","1","0","0","0","0","0","0"
"383","1","0","0","0","4217","133","377","0","19","66","2.0","0","0","0","0","0","0","0"
"448","0","0","0","0","1986","0","155","0","28","40","0.0","0","0","0","0","0","0","0"
"54","0","0","0","0","673","0","6","0","0","9","0.0","0","0","0","0","0","0","0"
"700","0","0","0","0","2152","66","82","0","10","30","6.324555","0","0","0","0","0","0","0"
"1158","0","0","1","1","5752","139","462","2","170","142","7.937254","1","0","0","0","0","0","0"
"1207","1","0","0","0","6760","259","861","0","83","138","9.219544","0","0","0","0","0","0","0"
"1304","0","0","0","0","5747","23","122","0","15","25","0.0","0","0","0","0","0","0","0"
"1377","0","1","1","5","4336","0","124","6","0","96","0.0","1","0","0","0","0","0","0"
"1412","2","0","1","2","11296","921","1257","4","42","208","28.930952","1","0","0","0","0","0","0"
"1496","0","0","0","0","4552","280","424","0","136","67","1.0","0","0","0","0","0","0","0"
"155","0","0","2","7","4130","84","233","9","0","99","0.0","0","0","0","0","0","0","0"
"1791","0","0","3","3","4950","194","233","7","95","71","6.557439","0","0","0","0","0","1","0"
"1936","0","0","0","0","1255","30","34","0","21","16","0.0","0","0","0","0","0","0","0"
"2016","0","0","0","1","832","16","52","1","0","11","0.0","0","0","0","0","0","0","0"
"2415","0","0","0","0","6116","0","4","0","0","6","0.0","0","0","0","0","0","0","0"
"2436","0","0","0","1","7154","483","539","1","298","103","0.0","1","0","0","0","0","0","0"
"2545","0","0","1","1","3853","0","64","2","0","5","0.0","0","0","0","0","0","0","0"
"2812","0","0","2","3","2543","2","530","5","0","57","0.0","0","0","0","0","0","0","0"
"2988","3","0","0","2","4597","747","1024","3","135","63","27.258026","1","0","0","0","0","1","0"
"3145","0","0","0","0","6687","293","675","0","91","133","2.0","1","0","0","0","0","0","0"
"3570","0","0","0","0","0","0","198","0","0","0","0.0","0","0","0","0","0","0","0"
"483","0","0","0","1","333","21","34","1","0","13","3.316625","0","0","0","0","0","0","0"
"635","0","0","0","0","608","21","24","0","8","15","0.0","0","0","0","0","0","0","0"
"851","1","0","0","1","5061","133","362","1","32","38","6.78233","0","0","0","0","0","0","0"
"862","1","0","1","1","1608","31","92","3","0","32","0.0","0","0","0","0","0","0","0"
"886","0","2","0","0","4060","40","435","0","1","58","0.0","0","0","0","0","0","0","0"
"940","2","0","0","0","1373","34","112","0","12","19","3.741657","0","0","0","0","0","0","0"
"132","0","0","1","1","2426","123","211","2","12","48","10.77033","0","0","0","0","0","0","0"
"154","0","0","0","0","4130","84","233","0","0","99","0.0","0","0","0","0","0","0","0"
"2079","0","0","1","2","4603","0","188","5","0","43","0.0","0","0","0","0","0","2","0"
"2762","0","0","0","0","5003","18","27","0","0","4","0.0","0","0","0","0","0","0","0"
"2931","1","0","1","1","2767","168","173","2","115","32","12.845233","1","0","0","0","0","0","0"
"3140","0","0","0","1","8804","0","611","1","0","156","0.0","0","0","0","0","0","0","0"
"317","1","0","3","8","6296","865","985","12","36","94","28.982753","1","0","0","1","0","0","0"
"3490","0","0","0","0","2083","34","88","0","15","16","0.0","0","0","0","0","0","0","0"
"3581","0","0","2","3","2469","37","434","5","28","57","0.0","0","0","0","0","0","0","0"
"714","0","0","0","3","4712","200","846","5","199","105","18.788294","1","0","0","0","0","0","0"
"727","3","0","0","2","2662","283","397","2","21","34","13.453624","0","0","0","0","0","0","0"
"987","0","0","0","0","1300","0","62","0","4","9","0.0","0","0","0","0","0","0","0"
"1236","0","0","2","3","4240","251","465","5","85","73","0.0","0","0","0","0","0","0","0"
"1290","2","0","0","1","5950","366","640","1","129","110","13.114877","1","0","0","0","0","0","0"
"1492","2","0","0","0","6757","269","509","0","0","112","3.741657","1","0","0","0","0","0","0"
"1601","1","0","0","0","3038","133","296","0","46","53","1.732051","1","0","0","0","0","0","0"
"200","0","0","0","1","2986","0","88","1","5","51","0.0","0","0","0","0","0","0","0"
"2012","1","0","5","6","4538","140","343","13","0","49","6.244998","1","0","1","0","0","1","0"
"2020","0","2","1","1","3504","122","239","2","85","76","2.236068","1","0","0","0","0","0","0"
"2115","0","0","0","2","2781","0","291","2","90","35","0.0","0","0","0","0","0","0","0"
"2138","0","0","0","0","0","0","2","0","0","0","0.0","0","0","0","0","0","0","0"
"2363","0","0","1","3","1429","33","72","5","0","22","0.0","0","0","0","0","0","1","0"
"2431","0","0","0","1","7408","217","575","1","51","114","0.0","1","0","0","0","0","0","0"
"2951","1","6","0","1","5155","927","1255","6","155","74","28.84441","1","0","5","0","0","0","0"
"388","1","0","1","3","4358","289","424","4","55","69","11.090537","0","0","0","0","0","0","0"
"428","0","0","4","6","4082","374","609","10","62","63","3.0","0","0","0","0","0","0","0"
"495","7","0","0","2","4555","393","637","3","175","58","18.303005","1","0","0","0","0","1","0"
"521","0","0","0","1","2794","0","225","1","38","54","0.0","0","0","0","0","0","0","0"
"625","0","0","1","2","2512","232","420","3","65","42","6.855655","0","0","0","0","0","0","0"
"101","0","0","0","0","1187","83","95","0","21","10","0.0","0","0","0","0","0","0","0"
"1041","2","0","2","2","1783","155","294","5","48","40","6.164414","0","0","0","0","0","1","0"
"1093","1","0","1","2","5447","251","569","3","64","142","0.0","0","0","0","0","0","0","0"
"11","0","1","0","0","1344","3","52","0","0","49","0.0","0","0","0","0","0","0","0"
"1192","0","4","0","0","5388","41","428","0","14","101","0.0","0","0","0","0","0","0","0"
"1235","0","0","1","1","4443","80","444","2","22","71","0.0","0","0","0","0","0","0","0"
"1259","0","0","0","0","1458","18","34","0","0","16","0.0","0","0","0","0","0","0","0"
"1518","1","0","0","1","6244","222","805","1","32","112","7.745967","0","0","0","0","0","0","0"
"1539","0","0","1","0","1872","38","88","1","0","13","0.0","0","0","0","0","0","0","0"
"1624","1","0","0","1","3328","167","332","1","84","66","7.416198","0","0","0","0","0","0","0"
"1793","0","0","3","5","5481","367","478","11","197","57","1.732051","0","0","1","0","0","2","0"
"1958","1","0","1","1","4627","133","345","2","111","94","1.414214","1","0","0","0","0","0","0"
"2354","0","4","2","2","4193","0","547","4","0","86","0.0","0","0","0","0","0","0","0"
"2683","0","0","1","1","688","44","75","2","0","12","0.0","0","0","0","0","0","0","0"
"2714","0","0","5","5","428","37","110","10","0","5","0.0","0","0","0","0","0","0","0"
"3521","0","0","0","1","3561","138","511","1","71","51","0.0","0","0","0","0","0","0","0"
"3578","1","0","0","0","6864","11","368","0","0","170","0.0","0","0","0","0","0","0","0"
"3584","0","0","0","0","2352","7","376","0","0","64","0.0","0","0","0","0","0","0","0"
"672","0","0","0","0","3181","265","475","0","80","41","0.0","0","0","0","0","0","0","0"
"854","1","0","0","0","5061","284","571","0","28","31","0.0","0","0","0","0","0","0","0"
"938","2","4","0","3","13630","408","674","5","131","121","13.856406","1","0","2","0","0","0","0"
"986","1","0","1","4","4798","40","552","6","6","102","0.0","0","0","0","1","0","0","0"
"1112","0","0","1","1","2507","43","129","2","10","34","0.0","0","0","0","0","0","0","0"
"1318","0","0","0","0","3681","269","580","0","114","78","0.0","0","0","0","0","0","0","0"
"1856","1","0","2","2","4500","92","267","4","32","93","2.236068","0","0","0","0","0","0","0"
"2407","1","0","2","4","7288","183","477","6","33","167","13.228757","1","0","0","0","0","0","0"
"2648","0","0","0","3","2271","0","158","3","0","40","0.0","0","0","0","0","0","0","0"
"279","1","0","0","0","675","41","44","0","16","17","0.0","0","0","0","0","0","0","0"
"2863","1","0","0","0","5127","171","383","0","44","78","12.041595","1","0","0","0","0","0","0"
"3187","2","1","4","5","5839","698","906","14","123","77","26.589472","1","0","1","2","0","2","0"
"3489","0","0","0","1","2083","34","88","1","15","16","0.0","0","0","0","0","0","0","0"
"415","0","0","0","0","1399","102","107","0","38","10","0.0","1","0","0","0","0","0","0"
"422","0","0","2","4","6049","331","679","7","58","67","15.362291","0","0","0","0","0","0","0"
"433","2","1","0","0","3215","189","684","0","32","62","11.532563","1","0","0","0","0","0","0"
"543","3","0","1","1","3561","274","362","3","117","57","14.21267","1","0","1","0","0","0","0"
"595","1","0","7","13","5934","290","519","25","123","88","16.278821","1","0","0","0","1","3","1"
"685","1","0","0","0","6324","859","939","0","23","106","26.981475","1","0","0","0","0","0","0"
"979","0","0","0","2","5475","166","385","2","30","120","11.74734","0","0","0","0","0","0","0"
"1111","0","0","0","1","4013","24","245","1","10","59","0.0","0","0","0","0","0","0","0"
"138","0","0","0","0","1148","15","20","0","0","18","0.0","0","0","0","0","0","0","0"
"1497","0","0","1","2","6516","494","851","4","80","127","19.442222","0","0","0","1","0","0","0"
"1620","0","1","1","1","4851","304","536","2","214","141","2.236068","0","0","0","0","0","0","0"
"1910","0","0","0","0","264","13","17","1","0","5","0.0","0","0","0","1","0","0","0"
"2139","0","0","0","0","455","0","1","0","0","9","0.0","0","0","0","0","0","0","0"
"2272","0","0","0","0","3245","0","108","0","0","45","0.0","0","0","0","0","0","0","0"
"3019","2","0","0","0","4048","356","480","0","151","87","15.84298","1","0","0","0","0","0","0"
"3107","3","0","1","4","7356","511","858","5","78","118","22.693611","1","0","0","0","0","0","0"
"323","0","0","1","4","7560","742","895","7","33","143","25.238859","1","0","1","0","0","0","0"
"3378","0","0","2","2","2155","20","39","5","26","38","0.0","0","0","0","0","0","1","0"
"351","1","0","0","4","3182","184","563","6","79","69","0.0","1","0","1","0","0","0","0"
"361","0","0","1","2","5041","231","495","4","66","75","0.0","1","0","0","0","0","1","0"
"3660","1","0","0","0","2255","1","65","0","0","18","0.0","0","0","0","0","0","0","0"
"387","5","0","4","10","6674","464","725","17","50","119","17.663522","1","0","1","0","0","1","0"
"823","0","0","0","4","3671","130","275","4","60","48","0.0","0","0","0","0","0","0","0"
"961","0","0","1","1","3686","22","221","4","16","90","0.0","0","0","0","0","0","2","0"
"1099","7","0","1","5","5139","488","734","6","107","91","16.03122","1","0","0","0","0","0","0"
"1205","0","0","0","0","5038","154","259","0","82","52","0.0","0","0","0","0","0","0","0"
"1483","0","0","0","3","7356","19","267","3","1","148","0.0","0","0","0","0","0","0","0"
"1623","0","0","0","0","0","0","1","0","0","0","0.0","0","0","0","0","0","0","0"
"1735","0","1","0","0","1242","0","34","0","0","23","0.0","1","0","0","0","0","0","0"
"1943","0","0","0","0","1149","0","37","0","0","21","0.0","0","0","0","0","0","0","0"
"2058","0","1","0","0","2561","43","83","1","36","34","0.0","0","0","0","0","0","1","0"
"2108","0","0","0","0","1993","150","215","0","53","29","0.0","0","0","0","0","0","0","0"
"2180","0","0","0","0","3527","127","330","0","56","96","2.44949","0","0","0","0","0","0","0"
"2201","3","0","3","5","5665","339","660","9","225","83","16.309506","1","0","0","0","0","1","0"
"2423","0","0","0","0","0","0","8","0","0","0","0.0","0","0","0","0","0","0","0"
"2443","3","0","5","9","15089","839","946","16","66","198","24.779023","1","0","1","1","0","0","0"
"2846","0","15","3","3","7510","181","374","7","111","133","7.874008","1","0","0","1","0","0","0"
"29","0","0","1","1","2983","0","94","2","10","5","0.0","0","0","0","0","0","0","0"
"2989","4","0","2","3","4597","747","1024","5","135","63","27.258026","1","0","0","0","0","0","0"
"309","0","0","0","0","1245","51","88","0","12","10","0.0","0","0","0","0","0","0","0"
"3268","0","0","0","1","4059","2","370","1","0","62","0.0","0","0","0","0","0","0","0"
"3399","0","0","1","2","7321","0","724","3","15","143","0.0","0","0","0","0","0","0","0"
"3406","0","0","0","1","4801","0","453","1","0","80","0.0","0","1","0","0","0","0","0"
"3546","0","0","0","0","596","0","1","0","0","11","0.0","0","0","0","0","0","0","0"
"419","0","0","0","0","5449","247","324","0","27","62","1.0","0","0","0","0","0","0","0"
"69","0","0","0","1","3085","205","273","1","14","103","9.643651","0","0","0","0","0","0","0"
"703","0","0","1","2","4041","43","383","3","15","85","0.0","0","0","0","0","0","0","0"
"724","0","0","0","1","2769","133","382","2","11","64","11.0","0","0","0","0","0","1","0"
"788","0","0","0","0","3871","0","196","0","0","82","0.0","0","0","0","0","0","0","0"
"836","1","0","0","0","3950","282","376","0","18","52","13.453624","1","0","0","0","0","0","0"
"1100","7","0","4","5","5139","488","734","9","107","91","16.03122","1","0","0","0","0","0","0"
"112","1","0","1","1","4579","172","250","2","20","84","10.677078","1","0","0","0","0","0","0"
"1470","0","0","0","0","2715","71","379","0","26","82","0.0","0","0","0","0","0","0","0"
"1728","0","0","0","1","5799","38","463","1","6","119","0.0","1","0","0","0","0","0","0"
"2587","0","0","0","0","0","0","22","0","0","0","0.0","0","0","0","0","0","0","0"
"2799","0","0","2","1","776","48","91","5","0","19","0.0","0","0","0","0","0","2","0"
"2896","2","0","1","4","2951","94","408","8","17","37","7.483315","1","0","2","0","0","1","0"
"3074","0","0","1","1","858","0","0","3","0","11","0.0","0","1","0","0","0","1","0"
"3494","0","0","0","0","4644","0","48","0","0","23","0.0","0","0","0","0","0","0","0"
